lat,lon,count
40.955,-74.24,1
40.793,-73.965,12
40.793,-73.966,18
40.712,-73.96,17
40.793,-73.967,45
40.712,-73.961,22
40.723,-73.95,17
40.793,-73.968,30
40.719,-74.36,1
40.723,-73.951,17
40.712,-73.962,51
40.793,-73.969,14
40.712,-73.963,141
40.723,-73.952,34
40.82,-73.977,1
40.712,-73.964,47
40.723,-73.953,56
40.82,-73.978,1
40.712,-73.965,19
40.723,-73.954,9
40.84,-73.838,1
40.754,-73.803,3
40.712,-73.966,83
40.723,-73.955,27
40.712,-73.967,10
40.723,-73.956,13
40.712,-73.968,13
